Series_Title,Released_Year,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Genre_Drama,Genre_Crime,Genre_Action,Genre_Adventure,Genre_Biography,Genre_History,Genre_Sci-Fi,Genre_Romance,Genre_Western,Genre_Fantasy,Genre_Comedy,Genre_Thriller,Genre_Animation,Genre_Family,Genre_War,Genre_Mystery,Genre_Music,Genre_Horror,Genre_Musical,Genre_Film-Noir,Genre_Sport,Certificate_16,Certificate_A,Certificate_Approved,Certificate_G,Certificate_GP,Certificate_PG,Certificate_PG-13,Certificate_Passed,Certificate_R,Certificate_TV-14,Certificate_TV-MA,Certificate_TV-PG,Certificate_U,Certificate_U/A,Certificate_UA,Certificate_Unrated,Actor_Popularity,Director_Popularity
Cool Hand Luke,1967.0,0.15157618685967975,0.2941176470588234,0.8888888888888888,Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,0.07886707661412264,-0.041437240886446014,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,1
Persona,1966.0,-1.3685288389537267,0.2941176470588234,0.8055555555555556,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Bjrnstrand,-0.32373094947758985,0.5881459478426638,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,7
Andrei Rublev,1966.0,2.9746283776560056,0.2941176470588234,0.7083333333333333,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev,-1.026902036512873,-2.2669301237798076,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6,5
La battaglia di Algeri,1966.0,-0.06558167397080687,0.2941176470588234,0.9444444444444444,Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,-0.9171263475808263,-2.5310163768939034,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1
El ngel exterminador,1962.0,-1.0065990709029156,0.2941176470588234,0.7083333333333333,Luis Buuel,Silvia Pinal,Jacqueline Andere,Enrique Rambal,Jos Baviera,-1.4362522737551195,0.5881459478426638,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,3
What Ever Happened to Baby Jane?,1962.0,0.4049270244952475,0.2941176470588234,0.6527777777777777,Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy,-0.9696143988236444,-0.65059501670334,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5,2
Sanjuro,1962.0,-0.9704060940978344,0.2941176470588234,0.7083333333333333,Akira Kurosawa,Toshir Mifune,Tatsuya Nakadai,Keiju Kobayashi,Ynosuke It,-1.3404507155659238,0.5881459478426638,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,15,10
The Man Who Shot Liberty Valance,1962.0,0.006804279639355334,0.2941176470588234,0.9166666666666667,John Ford,James Stewart,John Wayne,Vera Miles,Lee Marvin,-0.6853202524771074,0.5881459478426638,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21,5
Ivanovo detstvo,1962.0,-1.0065990709029156,0.2941176470588234,0.7083333333333333,Andrei Tarkovsky,Eduard Abalov,Nikolay Burlyaev,Valentin Zubkov,Evgeniy Zharikov,-1.3767363244189361,0.5881459478426638,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,5
Jungfrukllan,1960.0,-1.2237569317334023,0.2941176470588234,0.7083333333333333,Ingmar Bergman,Max von Sydow,Birgitta Valberg,Gunnel Lindblom,Birgitta Pettersson,-1.5308845591982005,-1.0791539679174884,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,7
Inherit the Wind,1960.0,0.18776916366476085,0.2941176470588234,0.6527777777777777,Stanley Kramer,Spencer Tracy,Fredric March,Gene Kelly,Dick York,-1.5124481138358221,0.5881459478426638,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9,3
Les quatre cents coups,1959.0,-0.8618271636825912,0.2941176470588234,0.7083333333333333,Franois Truffaut,Jean-Pierre Laud,Albert Rmy,Claire Maurier,Guy Decomble,-0.30574342151129325,0.5881459478426638,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2
Ben-Hur,1959.0,3.2279792152915734,0.2941176470588234,0.8611111111111112,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,0.3500238851501013,0.6291818131382535,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10,3
Kakushi-toride no san-akunin,1958.0,0.585891908520653,0.2941176470588234,0.7083333333333333,Akira Kurosawa,Toshir Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara,-1.2942985137005198,0.5881459478426638,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11,10
Le notti di Cabiria,1957.0,-0.463704418826699,0.2941176470588234,0.7083333333333333,Federico Fellini,Giulietta Masina,Franois Prier,Franca Marzi,Dorian Gray,-1.1065576609899943,-1.389841869564022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,5
Kumonosu-j,1957.0,-0.463704418826699,0.2941176470588234,0.7083333333333333,Akira Kurosawa,Toshir Mifune,Minoru Chiaki,Isuzu Yamada,Takashi Shimura,-1.032032631207305,0.5881459478426638,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,10
The Bridge on the River Kwai,1957.0,1.3821373982324372,0.2941176470588234,0.8194444444444444,David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,0.28242377568582966,0.40575627625031196,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,16,4
On the Waterfront,1954.0,-0.5360903724368612,0.2941176470588234,0.875,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,-0.038021752417863,-0.271659757784945,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,3
Le salaire de la peur,1953.0,0.2963480940800042,0.2941176470588234,0.7916666666666667,Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli,-0.8922656788219431,0.5881459478426638,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,2
Ace in the Hole,1951.0,-0.4275114420216179,0.2941176470588234,0.6111111111111112,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,-1.3812502116543843,-0.6593665859650937,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7,9
White Heat,1949.0,-0.3189325116063746,0.2941176470588234,0.7083333333333333,Raoul Walsh,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,-1.4325001250070923,0.5881459478426638,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5,1
The Third Man,1949.0,-0.6808622796571856,0.2941176470588234,0.9583333333333333,Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,0.060754270091343876,-1.6161142459645017,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10,1
The Red Shoes,1948.0,0.4411200013003286,0.2941176470588234,0.7083333333333333,Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer,-1.3993354301108298,-0.21589836316501093,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,2
The Shop Around the Corner,1940.0,-0.8618271636825912,0.2941176470588234,0.9444444444444444,Ernst Lubitsch,Margaret Sullavan,James Stewart,Frank Morgan,Joseph Schildkraut,-1.4741023309435237,-1.9641915345671093,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13,2
Rebecca,1940.0,0.2601551172749231,0.2941176470588234,0.8055555555555556,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,-0.16013310929515637,-0.6182115403100762,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7,14
Mr. Smith Goes to Washington,1939.0,0.22396214046984195,0.2941176470588234,0.625,Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold,-0.29122598071367173,-0.271659757784945,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,16,4
Gone with the Wind,1939.0,4.168996612223682,0.2941176470588234,0.9583333333333333,Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,0.5990729424816367,1.0586762527409659,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7,2
La Grande Illusion,1937.0,-0.3551254884114557,0.2941176470588234,0.7083333333333333,Jean Renoir,Jean Gabin,Dita Parlo,Pierre Fresnay,Erich von Stroheim,-1.3194881293028866,-2.0353450418462042,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,2
It Happened One Night,1934.0,-0.6446693028521046,0.2941176470588234,0.8194444444444444,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,-0.40686969262267386,-0.6182115403100762,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4
La passion de Jeanne d'Arc,1928.0,-0.463704418826699,0.2941176470588234,0.7083333333333333,Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,Andr Berley,Maurice Schutz,-1.0131443480320281,-2.9429806429776244,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4,1
The Circus,1928.0,-1.839037537419781,0.2941176470588234,0.8611111111111112,Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,Harry Crocker,-1.42065724300292,0.5881459478426638,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9,6
Sunrise: A Song of Two Humans,1927.0,-1.0427920477079966,0.2941176470588234,0.7083333333333333,F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing,-1.0284628881759805,-1.5356469602631568,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4,2
The General,1926.0,-2.0200024214451866,0.2941176470588234,0.7083333333333333,Clyde Bruckman,Buster Keaton,Buster Keaton,Marion Mack,Glen Cavender,-0.5381998271279539,-1.2500901531196138,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8,1
Das Cabinet des Dr. Caligari,1920.0,-1.6942656301994565,0.2941176470588234,0.7083333333333333,Robert Wiene,Werner Krauss,Conrad Veidt,Friedrich Feher,Lil Dagover,-0.8469824460052613,0.5881459478426638,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,1
Badhaai ho,2018.0,0.04299725644443644,0.23529411764705888,0.7083333333333333,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,Sanya Malhotra,-1.4890393361864358,0.5881459478426638,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7,1
Togo,2019.0,-0.3551254884114557,0.23529411764705888,0.5694444444444444,Ericson Core,Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl,Richard Dormer,-1.2261726762335883,0.5881459478426638,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8,1
Airlift,2016.0,0.2601551172749231,0.23529411764705888,0.7083333333333333,Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,-0.920361235703244,0.5881459478426638,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10,1
Bajrangi Bhaijaan,2015.0,1.4545233518425995,0.23529411764705888,0.7083333333333333,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,-0.6420467246871041,-0.3420489664396731,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10,1
Baby,2015.0,1.309751444622275,0.23529411764705888,0.7083333333333333,Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,-0.9211886867942839,0.5881459478426638,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,11,4
La La Land,2016.0,0.18776916366476085,0.23529411764705888,0.9166666666666667,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,1.0957077362846541,0.9384930900624141,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,2
Lion,2016.0,-0.1741606043860502,0.23529411764705888,0.5694444444444444,Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,0.32737999261254014,0.46793058627014056,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10,1
The Martian,2015.0,0.7668567925460585,0.23529411764705888,0.7222222222222223,Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,1.4591559237179095,1.1199560608172046,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,15,6
Zootopia,2016.0,-0.5360903724368612,0.23529411764705888,0.6944444444444444,Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,0.9591018916655348,1.2962077058496269,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,1
Bhubali: The Beginning,2015.0,1.309751444622275,0.23529411764705888,0.7083333333333333,S.S. Rajamouli,Prabhas,Rana Daggubati,Ramya Krishnan,Sathyaraj,-0.32562782842401206,-0.42708951500429176,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7,2
Kaguyahime no monogatari,2013.0,0.5135059549104908,0.23529411764705888,0.8472222222222221,Isao Takahata,Chlo Grace Moretz,James Caan,Mary Steenburgen,James Marsden,-1.1983209371294679,-1.084662330130392,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10,3
Wonder,2017.0,-0.3551254884114557,0.23529411764705888,0.5277777777777778,Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,-0.03917855628913599,0.8805564649854967,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7,2
Gully Boy,2019.0,1.1287865605968694,0.23529411764705888,0.5138888888888888,Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,-1.3723011435137826,-0.5109471936150608,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,2
Special Chabbis,2013.0,0.7668567925460585,0.23529411764705888,0.7083333333333333,Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Jimmy Sheirgill,-0.951761671797103,-1.2311912148089552,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12,4
Short Term 12,2013.0,-0.9704060940978344,0.23529411764705888,0.75,Destin Daniel Cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,-0.5314702760279663,-1.2601768764115397,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6,2
Serbuan maut 2: Berandal,2014.0,0.9840146533765451,0.23529411764705888,0.5972222222222222,Gareth Evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,-0.23231710092412752,-0.8408560486212232,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,2
The Imitation Game,2014.0,-0.3189325116063746,0.23529411764705888,0.625,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,1.3665412161464763,0.7164506250027096,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9,1
Guardians of the Galaxy,2014.0,-0.06558167397080687,0.23529411764705888,0.6666666666666667,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,1.7420542988579077,1.2856717889010374,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14,2
Blade Runner 2049,2017.0,1.4907163286476806,0.23529411764705888,0.7361111111111112,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,1.014286612054791,0.72090162588855,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,17,5
Her,2013.0,0.11538321005459864,0.23529411764705888,0.8611111111111112,Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara,1.155191879908562,0.15844529810880434,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21,3
Bohemian Rhapsody,2018.0,0.4049270244952475,0.23529411764705888,0.29166666666666663,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,0.9918236471317944,1.096251820895529,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,3
The Revenant,2015.0,1.2011725142070317,0.23529411764705888,0.6666666666666667,Alejandro G. Irritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,1.3927200466367167,1.024116478465231,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21,4
The Perks of Being a Wallflower,2012.0,-0.7170552564622668,0.23529411764705888,0.5416666666666666,Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,1.0151156151762115,-0.0020820588661214115,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,11,2
Tropa de Elite 2: O Inimigo Agora  Outro,2010.0,-0.2827395348012935,0.23529411764705888,0.5972222222222222,Jos Padilha,Wagner Moura,Irandhir Santos,Andr Ramiro,Milhem Cortaz,-0.5599825035418557,-2.2751930148572748,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7,2
The King's Speech,2010.0,-0.1741606043860502,0.23529411764705888,0.8333333333333333,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi,1.3050558434372053,0.901199544615262,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10,1
The Help,2011.0,0.8392427461562207,0.23529411764705888,0.4722222222222222,Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard,0.9474643465306147,0.9894802793244358,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10,1
Deadpool,2016.0,-0.5360903724368612,0.23529411764705888,0.5138888888888888,Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,1.6126483176152806,1.3233986029465223,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6,1
Darbareye Elly,2009.0,-0.1379676275809691,0.23529411764705888,0.8194444444444444,Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti,Merila Zare'i,-1.0489282677646987,-2.2473976580279786,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7,4
Dev.D,2009.0,0.7668567925460585,0.23529411764705888,0.7083333333333333,Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin,Dibyendu Bhattacharya,-1.4647677941620443,-3.246857449802154,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,2
Yip Man,2008.0,-0.6084763260470234,0.23529411764705888,0.4305555555555556,Wilson Yip,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka Tung Lam,0.3167051083746065,0.5881459478426638,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5,1
My Name Is Khan,2010.0,1.5269093054527616,0.23529411764705888,0.3055555555555556,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane,-0.3645910722040145,-0.6540020277942868,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10,1
Nefes: Vatan Sagolsun,2009.0,0.18776916366476085,0.23529411764705888,0.7083333333333333,Levent Semerci,Erdem Can,Mete Horozoglu,Ilker Kizmaz,Baris Bagci,-1.3736462118645334,0.5881459478426638,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5,1
Slumdog Millionaire,2008.0,-0.10177465077588797,0.23529411764705888,0.7777777777777777,Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,1.5035938372532167,0.9091074271084205,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6,3
Black Swan,2010.0,-0.5360903724368612,0.23529411764705888,0.7083333333333333,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,1.3852024418246625,0.786774032806004,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,3
Tropa de Elite,2007.0,-0.2827395348012935,0.23529411764705888,0.06944444444444448,Jos Padilha,Wagner Moura,Andr Ramiro,Caio Junqueira,Milhem Cortaz,-0.3689310977004281,-3.3813990019505438,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7,2
The Avengers,2012.0,0.7306638157409774,0.23529411764705888,0.5694444444444444,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,1.9109929611755632,1.560669413350369,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,25,2
Persepolis,2007.0,-0.9704060940978344,0.23529411764705888,0.8611111111111112,Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,Catherine Deneuve,Gena Rowlands,-0.4592808262471487,-0.6096594444980483,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9,1
Dallas Buyers Club,2013.0,-0.2103535811911313,0.23529411764705888,0.7222222222222223,Jean-Marc Valle,Matthew McConaughey,Jennifer Garner,Jared Leto,Steve Zahn,0.97433581333581,0.18719212031578977,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12,2
The Pursuit of Happyness,2006.0,-0.2103535811911313,0.23529411764705888,0.5,Gabriele Muccino,Will Smith,Thandie Newton,Jaden Smith,Brian Howe,0.9890059496269379,0.9732960051959557,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6,2
Blood Diamond,2006.0,0.7306638157409774,0.23529411764705888,0.5,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,1.084199739031458,0.513257660870991,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19,3
